"mlbam_id","year","Change","Fourseam","Slider","Curve","Sinker","Split","Cutter","Knuckler","Slow.Curve","Screwball"
474599,2013,49,453,143,NA,NA,NA,NA,NA,NA,NA
474599,2012,1,11,3,NA,NA,NA,NA,NA,NA,NA
474599,2011,16,73,16,NA,NA,NA,NA,NA,NA,NA
123790,2010,4,780,332,NA,NA,NA,NA,NA,NA,NA
460677,2014,7,9,5,1,2,NA,3,NA,NA,NA
460677,2012,112,337,48,159,20,NA,25,NA,NA,NA
460677,2011,168,286,30,126,39,NA,NA,NA,NA,NA
608379,2015,508,1727,NA,376,NA,NA,387,NA,NA,NA
608379,2014,311,995,NA,214,1,NA,179,NA,NA,NA
608379,2013,404,973,NA,110,NA,NA,27,NA,NA,NA
458690,2015,NA,NA,NA,4,16,NA,NA,NA,NA,NA
458690,2013,20,40,NA,39,80,NA,NA,NA,NA,NA
458690,2012,182,290,482,124,869,NA,NA,NA,NA,NA
458690,2011,324,426,485,244,1094,NA,NA,NA,NA,NA
458690,2010,364,569,421,332,1116,NA,NA,NA,NA,NA
450172,2015,907,72,NA,855,1819,NA,NA,NA,NA,NA
450172,2014,564,393,NA,782,1283,NA,NA,NA,NA,NA
450172,2013,656,219,NA,782,1486,NA,NA,NA,NA,NA
450172,2012,853,899,NA,812,774,NA,NA,NA,NA,NA
450172,2011,509,732,NA,404,292,NA,NA,NA,NA,NA
450172,2010,281,507,NA,218,149,NA,NA,NA,NA,NA
285064,2015,202,646,NA,472,519,NA,461,NA,NA,NA
285064,2014,459,946,21,580,630,NA,659,NA,NA,NA
285064,2013,268,456,NA,359,466,NA,398,NA,NA,NA
285064,2012,465,1145,NA,610,811,NA,406,NA,NA,NA
285064,2011,294,961,NA,588,739,NA,430,NA,NA,NA
501638,2011,1,62,34,NA,NA,NA,NA,NA,NA,NA
501638,2010,1,13,14,NA,NA,NA,NA,NA,NA,NA
543883,2015,24,131,NA,1,32,NA,223,NA,NA,NA
543883,2014,30,347,NA,NA,74,NA,530,NA,NA,NA
543883,2013,32,185,NA,NA,44,NA,439,NA,NA,NA
543883,2012,7,163,NA,NA,33,NA,272,NA,NA,NA
543883,2011,1,4,NA,NA,3,NA,1,NA,NA,NA
543881,2015,34,145,160,NA,274,NA,166,NA,NA,NA
543881,2014,4,112,41,NA,NA,NA,64,NA,NA,NA
543881,2013,5,63,32,NA,20,NA,27,NA,NA,NA
543881,2012,1,4,4,NA,3,NA,NA,NA,NA,NA
500903,2013,NA,112,21,NA,NA,NA,NA,NA,NA,NA
500903,2012,NA,721,161,NA,45,NA,NA,NA,NA,NA
500903,2011,3,126,116,NA,69,NA,NA,NA,NA,NA
492821,2010,31,40,16,NA,8,NA,NA,NA,NA,NA
534631,2012,NA,10,9,1,2,NA,NA,NA,NA,NA
534631,2011,13,58,15,1,NA,NA,NA,NA,NA,NA
453646,2015,125,349,349,64,52,NA,NA,NA,2,NA
453646,2014,226,438,245,197,167,NA,NA,NA,2,NA
453646,2013,473,654,374,252,206,NA,NA,NA,12,NA
453646,2012,477,627,414,206,258,NA,NA,NA,16,NA
453646,2011,353,648,341,215,145,NA,NA,NA,13,NA
453646,2010,252,273,212,193,NA,NA,NA,NA,1,NA
548337,2015,102,274,165,32,102,NA,NA,NA,NA,NA
434378,2015,195,1258,360,333,NA,NA,NA,NA,NA,NA
434378,2014,454,1966,527,550,NA,NA,NA,NA,NA,NA
434378,2013,668,2278,523,560,NA,NA,NA,NA,NA,NA
434378,2012,744,2412,499,612,NA,NA,NA,NA,NA,NA
434378,2011,682,2464,371,755,NA,NA,NA,NA,NA,NA
434378,2010,557,2201,264,734,NA,NA,NA,NA,NA,NA
572403,2015,25,246,NA,98,NA,NA,NA,NA,NA,NA
572403,2014,13,56,NA,13,NA,NA,NA,NA,NA,NA
489400,2013,14,41,7,NA,NA,NA,NA,NA,NA,NA
489400,2012,8,43,20,1,NA,NA,NA,NA,NA,NA
489400,2010,2,52,5,NA,NA,NA,NA,NA,NA,NA
407842,2014,113,503,NA,228,NA,NA,NA,NA,NA,NA
407842,2013,161,598,NA,358,NA,NA,NA,NA,NA,NA
407842,2012,77,736,NA,544,NA,NA,NA,NA,NA,NA
407842,2011,132,604,NA,490,NA,NA,NA,NA,NA,NA
407842,2010,89,506,NA,225,NA,NA,NA,NA,NA,NA
570649,2015,398,1087,NA,700,595,NA,124,NA,NA,NA
570649,2014,488,1516,NA,517,761,NA,245,NA,NA,NA
570649,2013,15,115,NA,38,25,NA,24,NA,NA,NA
570649,2012,3,5,NA,3,NA,NA,NA,NA,NA,NA
458924,2012,70,79,NA,218,591,NA,NA,NA,NA,NA
458924,2011,3,146,NA,263,902,NA,NA,NA,NA,NA
458924,2010,12,292,NA,324,770,NA,NA,NA,NA,NA
519381,2015,7,189,NA,225,NA,NA,NA,NA,NA,NA
519381,2013,15,22,NA,15,NA,NA,NA,NA,NA,NA
592826,2015,72,668,58,178,NA,NA,NA,NA,NA,NA
592826,2014,6,24,NA,6,NA,NA,NA,NA,NA,NA
453264,2015,8,65,NA,11,NA,NA,NA,NA,NA,NA
453264,2014,12,99,NA,45,NA,NA,NA,NA,NA,NA
453264,2013,25,NA,NA,211,294,NA,NA,NA,NA,NA
453264,2012,4,NA,NA,100,80,NA,NA,NA,NA,NA
134320,2011,217,1188,499,473,594,NA,NA,NA,NA,NA
134320,2010,378,794,430,423,661,NA,NA,NA,NA,NA
458220,2012,151,221,95,33,46,NA,NA,NA,NA,NA
458220,2011,82,283,NA,78,137,NA,NA,NA,NA,NA
458220,2010,296,382,34,25,272,NA,NA,NA,NA,NA
457786,2011,165,236,NA,64,92,NA,NA,NA,NA,NA
460008,2015,38,114,NA,45,NA,NA,NA,NA,NA,NA
460008,2014,141,528,NA,224,NA,NA,NA,NA,NA,NA
460008,2013,107,754,NA,230,NA,NA,NA,NA,NA,NA
460008,2012,17,211,NA,89,NA,NA,NA,NA,NA,NA
460008,2011,27,261,NA,89,NA,NA,NA,NA,NA,NA
460008,2010,14,83,NA,25,NA,NA,NA,NA,NA,NA
282567,2011,4,17,7,NA,2,NA,NA,NA,NA,NA
282567,2010,29,79,104,NA,170,NA,NA,NA,NA,NA
457508,2010,NA,14,NA,NA,NA,NA,NA,NA,NA,NA
462995,2012,NA,31,11,4,10,NA,NA,NA,NA,NA
462995,2011,17,130,33,18,NA,NA,NA,NA,NA,NA
462995,2010,26,160,90,1,21,NA,NA,NA,NA,NA
407878,2014,NA,273,NA,NA,NA,82,NA,NA,NA,NA
407878,2013,NA,287,NA,NA,NA,52,NA,NA,NA,NA
407878,2012,NA,976,NA,NA,NA,210,NA,NA,NA,NA
407878,2011,NA,1045,NA,NA,NA,265,NA,NA,NA,NA
407878,2010,NA,509,NA,NA,NA,553,NA,NA,NA,NA
407832,2011,NA,6,NA,1,3,NA,NA,NA,NA,NA
429723,2011,NA,47,7,NA,9,22,NA,NA,NA,NA
429723,2010,NA,33,3,NA,28,10,NA,NA,NA,NA
451990,2013,NA,9,NA,2,3,4,NA,NA,NA,NA
451990,2012,NA,73,NA,1,27,124,NA,NA,NA,NA
451990,2011,NA,85,NA,NA,78,107,NA,NA,NA,NA
572308,2015,8,86,46,NA,1,NA,NA,NA,NA,NA
491624,2010,1,145,23,NA,189,NA,NA,NA,NA,NA
447744,2014,2,52,23,NA,NA,NA,NA,NA,NA,NA
447744,2013,59,364,165,NA,NA,NA,NA,NA,NA,NA
447744,2012,25,295,155,NA,NA,NA,NA,NA,NA,NA
447744,2011,4,138,93,NA,NA,NA,NA,NA,NA,NA
447744,2010,94,593,372,NA,NA,NA,NA,NA,NA,NA
570632,2015,179,410,181,28,194,NA,NA,NA,NA,NA
493157,2015,NA,243,NA,NA,1,379,5,NA,NA,NA
493157,2014,NA,472,NA,2,NA,453,22,NA,NA,NA
493157,2013,NA,566,NA,3,NA,583,54,NA,NA,NA
493157,2012,NA,328,NA,NA,NA,254,47,NA,NA,NA
493157,2011,NA,613,NA,NA,NA,308,26,NA,NA,NA
493157,2010,NA,446,NA,NA,1,177,49,NA,NA,NA
545363,2014,160,430,318,170,689,NA,NA,NA,NA,NA
545363,2013,94,597,213,259,579,NA,NA,NA,NA,NA
545363,2012,81,362,147,160,136,NA,NA,NA,NA,NA
545363,2011,34,97,1,56,62,NA,NA,NA,NA,NA
592815,2015,NA,160,80,21,NA,NA,NA,NA,NA,NA
592815,2014,2,89,NA,23,NA,NA,NA,NA,NA,NA
457761,2012,8,20,NA,NA,NA,NA,NA,NA,NA,NA
457761,2011,16,111,27,NA,NA,NA,NA,NA,NA,NA
425835,2015,9,60,NA,2,NA,NA,57,NA,NA,NA
607374,2015,131,349,124,NA,NA,15,NA,NA,NA,NA
607374,2014,73,177,74,NA,34,6,NA,NA,NA,NA
607374,2012,27,50,14,NA,NA,NA,NA,NA,NA,NA
470462,2013,NA,NA,121,59,349,NA,NA,NA,NA,NA
470462,2012,NA,NA,1,NA,8,NA,NA,NA,NA,NA
470462,2011,NA,20,62,54,276,NA,NA,NA,NA,NA
470462,2010,3,66,NA,213,616,NA,NA,NA,NA,NA
595014,2015,6,141,301,NA,556,NA,NA,NA,NA,NA
595014,2014,46,57,104,NA,523,NA,NA,NA,NA,NA
595441,2015,2,13,10,3,11,NA,NA,NA,NA,NA
448614,2015,4,205,50,114,13,NA,456,NA,NA,NA
448614,2014,25,487,NA,215,55,NA,772,NA,NA,NA
448614,2013,43,508,NA,172,14,NA,583,NA,NA,NA
448614,2012,11,420,NA,172,13,NA,297,NA,NA,NA
448614,2010,10,NA,NA,30,NA,NA,224,NA,NA,NA
456776,2015,184,277,56,17,105,NA,NA,NA,NA,NA
456776,2014,351,541,75,1,139,NA,NA,NA,NA,NA
456776,2013,319,544,50,NA,28,NA,NA,NA,NA,NA
456776,2011,47,96,NA,13,NA,NA,NA,NA,NA,NA
456776,2010,3,9,NA,1,NA,NA,NA,NA,NA,NA
543859,2015,6,NA,90,NA,263,NA,NA,NA,NA,NA
543859,2014,4,NA,63,NA,262,NA,NA,NA,NA,NA
543859,2013,6,NA,25,NA,142,NA,NA,NA,NA,NA
543859,2012,NA,NA,13,NA,48,NA,NA,NA,NA,NA
123387,2012,1,22,NA,3,NA,NA,7,NA,NA,NA
123387,2011,38,298,115,73,10,NA,NA,NA,NA,NA
476270,2014,NA,10,NA,1,2,NA,NA,NA,NA,NA
474521,2015,216,779,164,NA,NA,NA,NA,NA,NA,NA
474521,2014,137,740,126,NA,1,NA,161,NA,NA,NA
474521,2013,1,27,8,NA,NA,NA,3,NA,NA,NA
474521,2012,5,338,246,NA,76,NA,NA,NA,NA,NA
519357,2010,8,73,50,NA,3,NA,NA,NA,NA,NA
474226,2011,28,107,21,2,NA,NA,NA,NA,NA,NA
501957,2015,373,1488,7,406,356,NA,209,NA,NA,NA
501957,2014,471,2288,NA,623,28,NA,182,NA,NA,NA
501957,2013,506,2158,NA,593,NA,NA,213,NA,NA,NA
501957,2012,204,845,NA,246,26,NA,110,NA,NA,NA
501957,2011,136,714,NA,197,NA,NA,116,NA,NA,NA
501957,2010,104,581,NA,177,NA,NA,80,NA,NA,NA
407819,2015,NA,414,NA,103,NA,59,2,NA,NA,NA
407819,2014,NA,396,3,46,166,43,NA,NA,NA,NA
407819,2013,NA,455,36,129,82,3,NA,NA,NA,NA
407819,2012,NA,696,53,190,74,NA,NA,NA,NA,NA
407819,2011,NA,862,71,57,30,13,NA,NA,NA,NA
407819,2010,NA,868,NA,97,18,1,NA,NA,NA,NA
592804,2015,182,347,NA,111,NA,NA,NA,NA,NA,NA
592804,2014,81,321,NA,132,NA,NA,NA,NA,NA,NA
592804,2013,147,632,NA,281,2,NA,NA,NA,NA,NA
