yearID,playerID,HR,BB,HBP,SO,IPouts,FIP
2010,peraljo01,5,9,1,49,147,3.01777551020408
2010,wuertmi01,6,21,0,40,119,4.61681512605042
2010,francje01,11,23,2,67,313,3.88411182108626
2010,olivean01,3,13,2,18,66,5.26081818181818
2010,oliveda02,4,15,2,65,185,2.64116216216216
2010,roberda08,5,33,3,71,184,3.5844347826087
2010,cordefr01,5,36,2,59,218,3.9184495412844
2010,runzlda01,1,20,1,37,98,3.14022448979592
2010,braddza01,1,19,2,41,101,2.90078217821782
2010,zagurmi01,1,5,2,11,21,4.79328571428571
2010,bradeda01,17,43,5,113,578,3.80045328719723
2010,weinhro01,2,8,3,21,88,3.65854545454545
2010,roberna01,12,42,6,63,304,4.7961052631579
2010,olsensc01,10,27,2,53,243,4.44937037037037
2010,hallaro01,24,30,6,219,752,3.0071914893617
2010,beimejo01,5,15,0,21,135,4.59011111111111
2010,enrigba01,20,29,1,49,297,5.62445454545455
2010,wellsra01,19,63,6,144,583,3.93320240137221
2010,hallbi03,0,0,0,0,3,3.079
2010,rodnefe01,4,35,5,53,204,4.04958823529412
2010,belisma01,7,16,2,91,276,2.67682608695652
2010,hamelco01,26,61,8,211,626,3.66845686900959
2010,thompbr01,4,4,1,10,59,5.46883050847458
2010,steveje01,4,10,0,15,53,6.02239622641509
2010,masteju01,14,73,11,140,540,3.93455555555556
2010,perezra01,3,25,0,36,183,3.76752459016393
2010,belisro01,6,19,3,38,166,4.3079156626506
2010,hammeja01,18,47,6,141,533,3.70376547842402
2010,lerouch01,1,14,0,22,68,3.56429411764706
2010,kimbrcr01,0,16,0,40,62,1.53061290322581
2010,ortizra01,5,16,0,21,90,5.44566666666667
2010,crainje01,5,27,1,62,204,3.44664705882353
2010,choatra01,3,17,3,40,134,3.50437313432836
2010,ortizru01,0,5,0,6,21,3.50757142857143
2010,hamptmi01,0,1,0,3,13,2.38669230769231
2010,perryry01,6,23,5,45,188,4.22793617021277
2010,bellhe01,1,28,1,86,210,2.05042857142857
2010,kintzbr01,2,4,0,9,22,5.80627272727273
2010,rodrihe03,2,13,1,33,83,3.15128915662651
2010,hoffmtr01,8,19,0,30,142,5.21280281690141
2010,villahe02,0,3,1,3,18,4.079
2010,oswalro01,19,55,5,193,635,3.27270078740157
2010,willido03,6,56,5,47,197,5.62214720812183
2010,cruzju02,0,4,0,7,16,2.704
2010,beltrom01,3,7,2,9,21,9.93614285714286
2010,benoijo01,6,11,0,75,181,2.43259116022099
2010,gallase01,7,41,3,43,173,5.4547225433526
2010,happja01,8,47,1,70,262,4.31564122137405
2010,milleju01,4,8,3,30,73,4.10639726027397
2010,willira01,2,21,3,22,75,5.239
2010,rosalle01,2,9,0,12,49,4.85451020408163
2010,bensokr01,2,6,1,8,42,5.29328571428571
2010,bergebr02,26,51,7,81,510,5.13782352941177
2010,haranaa01,16,38,4,82,335,4.60138805970149
2010,wilsobr01,3,26,1,93,224,2.19507142857143
2010,bergju01,3,20,3,14,120,5.079
2010,padilvi01,14,24,7,84,285,4.20531578947368
2010,rogeres01,5,26,5,66,216,3.44011111111111
2010,palmema01,1,20,1,17,101,4.32652475247525
2010,bergmja01,2,1,0,2,7,13.7932857142857
2010,berkeja01,5,19,0,45,187,3.59236898395722
