"mlbam_id","yearID","HR","BB","HBP","SO","IPouts","FIP","Change","Fourseam","Slider","Curve","Sinker","Split","Cutter","Knuckler","Slow.Curve","Screwball","Fourseam.bway","Change.bway","Slider.bway","Sinker.bway","Curve.bway","Split.bway","Cutter.bway","Knuckler.bway","Slow.Curve.bway","Screwball.bway","Fourseam.vloc","Change.vloc","Slider.vloc","Sinker.vloc","Curve.vloc","Split.vloc","Cutter.vloc","Knuckler.vloc","Slow.Curve.vloc","Screwball.vloc","Fourseam.hloc","Change.hloc","Slider.hloc","Sinker.hloc","Curve.hloc","Split.hloc","Cutter.hloc","Knuckler.hloc","Slow.Curve.hloc","Screwball.hloc","Fourseam.pfx_z","Change.pfx_z","Slider.pfx_z","Sinker.pfx_z","Curve.pfx_z","Split.pfx_z","Cutter.pfx_z","Knuckler.pfx_z","Slow.Curve.pfx_z","Screwball.pfx_z","Fourseam.pfx_x","Change.pfx_x","Slider.pfx_x","Sinker.pfx_x","Curve.pfx_x","Split.pfx_x","Cutter.pfx_x","Knuckler.pfx_x","Slow.Curve.pfx_x","Screwball.pfx_x","Fourseam.maxmph","Change.maxmph","Slider.maxmph","Sinker.maxmph","Curve.maxmph","Split.maxmph","Cutter.maxmph","Knuckler.maxmph","Slow.Curve.maxmph","Screwball.maxmph","Fourseam.mph","Change.mph","Slider.mph","Sinker.mph","Curve.mph","Split.mph","Cutter.mph","Knuckler.mph","Slow.Curve.mph","Screwball.mph"
504083,2015,3,9,0,9,43,6.48283720930232,14,124,74,0,22,0,0,0,0,0,5.65,7.14,8.11,4.55,0,0,0,0,0,0,-0.16,-0.62,-0.75,-0.53,0,0,0,0,0,0,0.38,0.35,0.06,0.19,0,0,0,0,0,0,8.47,4.76,1.41,4.46,0,0,0,0,0,0,-4.96,-5.21,3.04,-8.52,0,0,0,0,0,0,100.03,89.15,91.37,98.03,0,0,0,0,0,0,96.33,86.09,88.05,95.54,0,0,0,0,0,0
504379,2011,8,18,1,58,215,3.65290697674419,124,848,173,0,0,0,0,0,0,0,7.9,3.23,6.94,0,0,0,0,0,0,0,-0.06,-0.61,-0.81,0,0,0,0,0,0,0,0.3,0.65,0.64,0,0,0,0,0,0,0,8.98,7.78,2.04,0,0,0,0,0,0,0,-4.09,-5.1,1.86,0,0,0,0,0,0,0,97.95,90.06,87.66,0,0,0,0,0,0,0,94.7,85.61,83.64,0,0,0,0,0,0,0
504379,2012,7,22,1,54,174,3.99155172413793,70,692,258,0,0,0,0,0,0,0,5.92,2.86,3.49,0,0,0,0,0,0,0,-0.32,-0.83,-0.85,0,0,0,0,0,0,0,0.37,0.69,0.57,0,0,0,0,0,0,0,9.4,7.87,2.47,0,0,0,0,0,0,0,-4.94,-5.62,1.97,0,0,0,0,0,0,0,98.39,88.47,89.26,0,0,0,0,0,0,0,94.18,85.14,83.7,0,0,0,0,0,0,0
504379,2013,17,64,5,119,473,4.25307399577167,188,1984,584,0,215,0,0,0,0,0,5.04,5.85,4.28,5.12,0,0,0,0,0,0,-0.12,-0.52,-0.86,-0.33,0,0,0,0,0,0,0.3,0.61,0.35,0.25,0,0,0,0,0,0,8.79,8.52,2.38,6.68,0,0,0,0,0,0,-4.57,-5.62,1.71,-7.23,0,0,0,0,0,0,98.16,91.47,90.43,97.17,0,0,0,0,0,0,93.09,85.55,84.61,92.38,0,0,0,0,0,0
504379,2014,19,31,1,63,281,5.44872597864769,60,1052,399,0,53,0,0,0,0,0,5.61,3.33,6.02,3.77,0,0,0,0,0,0,-0.02,-1.09,-0.93,0.03,0,0,0,0,0,0,0.2,0.45,0.35,0.34,0,0,0,0,0,0,8.1,3.21,1.74,6.52,0,0,0,0,0,0,-4.08,-3.3,1.38,-7.44,0,0,0,0,0,0,97.97,88.91,88.15,94.53,0,0,0,0,0,0,93.46,86.34,84.91,91.66,0,0,0,0,0,0
504379,2015,1,32,1,65,175,2.82542857142857,14,787,255,0,0,0,0,0,0,0,5.72,0,5.49,0,0,0,0,0,0,0,0.09,-0.31,-0.73,0,0,0,0,0,0,0,0.3,0.31,0.58,0,0,0,0,0,0,0,8.72,8.6,1.86,0,0,0,0,0,0,0,-5.19,-5.67,1.94,0,0,0,0,0,0,0,99.21,90.47,90.43,0,0,0,0,0,0,0,95.72,88.43,86.92,0,0,0,0,0,0,0
505447,2011,2,3,0,7,25,5.545,10,33,42,0,39,0,0,0,0,0,12.12,10,7.14,7.69,0,0,0,0,0,0,-0.14,-1.19,-0.96,-0.56,0,0,0,0,0,0,0.62,0.72,0.45,0.32,0,0,0,0,0,0,9.12,4.03,-3.84,5.72,0,0,0,0,0,0,-1.53,-3.32,1.67,-6.7,0,0,0,0,0,0,95.16,83.62,86.09,91.75,0,0,0,0,0,0,91.97,80.93,83.4,89.96,0,0,0,0,0,0
505447,2012,2,2,0,6,19,6.25289473684211,6,38,47,0,40,0,0,0,0,0,5.26,0,0,5,0,0,0,0,0,0,-0.38,-2.16,-1.29,-0.22,0,0,0,0,0,0,0.37,-0.02,0.31,-0.21,0,0,0,0,0,0,6.7,4.68,-2.38,5.28,0,0,0,0,0,0,-0.56,-1.85,1.67,-5.79,0,0,0,0,0,0,92.6,81.44,84.57,92.24,0,0,0,0,0,0,90.28,80.72,83.04,90.24,0,0,0,0,0,0
506606,2010,6,20,0,33,138,4.64421739130435,192,471,0,171,0,0,0,0,0,0,4.88,5.73,0,0,1.75,0,0,0,0,0,0.18,-0.59,0,0,-0.84,0,0,0,0,0,0.11,0.22,0,0,0.11,0,0,0,0,0,11.94,9.2,0,0,-0.81,0,0,0,0,0,1.93,4.97,0,0,1.08,0,0,0,0,0,89.94,87.63,0,0,80.43,0,0,0,0,0,87.46,83.02,0,0,77.03,0,0,0,0,0
506606,2011,0,5,0,6,25,3.385,46,79,0,36,0,0,0,0,0,0,7.59,13.04,0,0,8.33,0,0,0,0,0,0.11,-0.5,0,0,-0.95,0,0,0,0,0,0.27,0.49,0,0,0.08,0,0,0,0,0,12.17,7.71,0,0,-1.25,0,0,0,0,0,1.99,5.9,0,0,0.59,0,0,0,0,0,90.21,85.71,0,0,79.53,0,0,0,0,0,88.15,83.83,0,0,77.83,0,0,0,0,0
