"Year","Fourseam","Change","Slider","pfx_var","mlbam_id","Sinker","Curve","Split","Cutter","Knuckler","Slow Curve","Screwball"
"2008","0.09","0.44","-0.64","vloc",407296,"-0.15","0.35","-1.26","0.22",NA,NA,NA
"2009","0.10","-0.24","-0.49","vloc",407296,"-0.24","-1.04","-1.39","0.17",NA,NA,NA
"2010","0.13","-0.15","-0.78","vloc",407296,"-0.19","-0.30","-1.35","-0.03",NA,NA,NA
"2011","0.19","0.32","-0.73","vloc",407296,"-0.19","-0.44","-1.36","0.21",NA,NA,NA
"2012","0.03","0.34","-0.46","vloc",407296,"-0.28","-0.36","-1.19","-0.04",NA,NA,NA
"2008","0.38","0.64","0.35","hloc",407296,"0.29","-0.15","0.52","-0.03",NA,NA,NA
"2009","0.28","-0.03","0.45","hloc",407296,"0.42","1.68","0.28","0.17",NA,NA,NA
"2010","0.30","-0.29","0.38","hloc",407296,"0.26","0.27","0.41","0.21",NA,NA,NA
"2011","0.44","0.61","0.29","hloc",407296,"0.31","0.35","0.39","0.25",NA,NA,NA
"2012","0.53","0.30","0.55","hloc",407296,"0.39","0.54","0.62","0.27",NA,NA,NA
"2008","8.34","7.14","3.55","pfx_z",407296,"4.11","-2.57","0.27","7.29",NA,NA,NA
"2009","8.00","9.28","3.98","pfx_z",407296,"4.49","-1.90","0.03","7.37",NA,NA,NA
"2010","8.65","7.61","3.39","pfx_z",407296,"5.43","-2.10","0.10","7.25",NA,NA,NA
"2011","8.73","10.58","2.14","pfx_z",407296,"6.09","-3.55","0.77","7.21",NA,NA,NA
"2012","6.80","8.43","3.35","pfx_z",407296,"2.77","-2.17","-1.57","5.34",NA,NA,NA
"2008","-5.30","-3.50","5.62","pfx_x",407296,"-9.81","7.66","-7.21","-1.79",NA,NA,NA
"2009","-4.79","-5.06","6.23","pfx_x",407296,"-8.80","7.90","-6.84","-1.89",NA,NA,NA
"2010","-3.88","-5.79","6.17","pfx_x",407296,"-8.59","7.90","-6.36","-1.14",NA,NA,NA
"2011","-4.14","-1.29","7.25","pfx_x",407296,"-8.21","8.24","-6.34","-0.83",NA,NA,NA
"2012","-6.10","-6.21","6.63","pfx_x",407296,"-9.47","9.39","-6.10","-2.18",NA,NA,NA
"2008","98.15","85.31","89.59","maxmph",407296,"98.06","76.91","90.63","97.25",NA,NA,NA
"2009","96.86","85.58","87.71","maxmph",407296,"96.65","75.04","93.78","96.47",NA,NA,NA
"2010","96.18","83.31","86.08","maxmph",407296,"96.50","74.55","90.17","95.91",NA,NA,NA
"2011","95.86","82.30","85.23","maxmph",407296,"95.35","77.46","87.60","95.28",NA,NA,NA
"2012","96.05","86.51","85.67","maxmph",407296,"94.88","77.71","88.73","94.38",NA,NA,NA
"2008","92.40","80.34","82.84","mph",407296,"91.90","67.77","85.22","91.23",NA,NA,NA
"2009","92.56","82.47","82.65","mph",407296,"91.82","70.60","85.54","90.92",NA,NA,NA
"2010","91.24","82.55","80.58","mph",407296,"90.50","70.27","83.90","89.84",NA,NA,NA
"2011","91.09","82.29","79.84","mph",407296,"90.75","71.32","83.83","90.11",NA,NA,NA
"2012","91.62","84.50","80.52","mph",407296,"90.68","72.24","83.77","89.60",NA,NA,NA
"2010","3.81","0.00","8.33","bway",489448,NA,NA,NA,"0.00",NA,NA,NA
"2011","3.57","0.00","8.00","bway",489448,NA,NA,NA,"0.00",NA,NA,NA
