mlbam_id,yearID,HR,BB,HBP,SO,IPouts,FIP,Fourseam,Slider,Change,Curve,Sinker,Cutter,Split,Knuckler,Slow.Curve,Fourseam.bway,Change.bway,Slider.bway,Sinker.bway,Curve.bway,Cutter.bway,Split.bway,Knuckler.bway,Slow.Curve.bway,Fourseam.vloc,Change.vloc,Slider.vloc,Sinker.vloc,Curve.vloc,Cutter.vloc,Split.vloc,Knuckler.vloc,Slow.Curve.vloc,Fourseam.hloc,Change.hloc,Slider.hloc,Sinker.hloc,Curve.hloc,Cutter.hloc,Split.hloc,Knuckler.hloc,Slow.Curve.hloc,Fourseam.pfx_z,Change.pfx_z,Slider.pfx_z,Sinker.pfx_z,Curve.pfx_z,Cutter.pfx_z,Split.pfx_z,Knuckler.pfx_z,Slow.Curve.pfx_z,Fourseam.pfx_x,Change.pfx_x,Slider.pfx_x,Sinker.pfx_x,Curve.pfx_x,Cutter.pfx_x,Split.pfx_x,Knuckler.pfx_x,Slow.Curve.pfx_x,Fourseam.maxmph,Change.maxmph,Slider.maxmph,Sinker.maxmph,Curve.maxmph,Cutter.maxmph,Split.maxmph,Knuckler.maxmph,Slow.Curve.maxmph,Fourseam.mph,Change.mph,Slider.mph,Sinker.mph,Curve.mph,Cutter.mph,Split.mph,Knuckler.mph,Slow.Curve.mph
434663,2011,8,21,1,55,193,3.957642487,635,89,283,0,0,0,0,0,0,6.61,2.12,3.37,0,0,0,0,0,0,-0.07,-0.7,-0.69,0,0,0,0,0,0,0.33,0.77,0.3,0,0,0,0,0,0,8.55,1.27,3.03,0,0,0,0,0,0,-7.29,-10.28,0.11,0,0,0,0,0,0,99.03,91.79,89.83,0,0,0,0,0,0,95.05,87.54,86.58,0,0,0,0,0,0
435044,2010,23,43,6,148,511,3.959626223,1262,545,190,119,427,145,0,0,0,7.53,5.26,7.71,4.68,5.88,4.83,0,0,0,0.37,-0.41,-0.4,0.08,-0.3,-0.23,0,0,0,0.16,0.64,0.35,0.25,0.32,0.26,0,0,0,9.45,6.8,0.87,7.3,-2.18,5.36,0,0,0,-7.7,-8.41,0.52,-8.92,0.86,-1.09,0,0,0,96.78,88.4,86.7,94.99,84.49,90.26,0,0,0,92.37,84.16,82.74,91.82,81.39,85.88,0,0,0
435044,2011,15,32,4,123,404,3.448267327,1116,470,106,55,356,97,0,0,0,7.62,2.83,5.74,7.58,7.27,6.19,0,0,0,0.34,-0.23,-0.39,0.07,-0.45,-0.33,0,0,0,0.25,0.76,0.39,0.56,0.29,0.14,0,0,0,9.77,6.36,0.9,7.72,-1.36,5.47,0,0,0,-7.2,-8.26,1.37,-8.52,1.65,-0.64,0,0,0,96.33,87.18,86.22,95.67,84.33,88.8,0,0,0,91.81,82.96,82.32,91.16,79.86,85.26,0,0,0
435045,2013,1,4,0,28,77,1.840207792,168,132,14,0,0,0,0,0,0,3.57,0,8.33,0,0,0,0,0,0,-0.3,-0.29,-1.06,0,0,0,0,0,0,0.27,1.29,0.14,0,0,0,0,0,0,8.98,3.95,-2.12,0,0,0,0,0,0,-2.14,-7.39,2.99,0,0,0,0,0,0,97.21,90.31,89.31,0,0,0,0,0,0,95.11,87.57,86.96,0,0,0,0,0,0
435045,2014,5,18,0,29,63,6.036761905,207,155,42,0,0,0,0,0,0,4.83,0,3.23,0,0,0,0,0,0,-0.42,-0.48,-1.33,0,0,0,0,0,0,0.34,0.67,0.01,0,0,0,0,0,0,9.32,3.9,-1.62,0,0,0,0,0,0,-1.9,-7.36,3.11,0,0,0,0,0,0,97.1,89.26,90.37,0,0,0,0,0,0,94.79,86.04,86.99,0,0,0,0,0,0
435045,2015,3,7,0,18,49,9.876333333,133,92,22,0,0,0,0,0,0,3.76,4.55,6.52,0,0,0,0,0,0,-0.44,-0.57,-1.55,0,0,0,0,0,0,0.29,0.3,0.05,0,0,0,0,0,0,9.34,4.14,-2.29,0,0,0,0,0,0,-2.13,-7.53,3.03,0,0,0,0,0,0,96.43,87.52,88.29,0,0,0,0,0,0,93.49,85.12,85.35,0,0,0,0,0,0
435221,2013,13,21,5,76,405,3.751703704,26,0,82,296,889,692,13,0,0,0,2.44,0,6.07,7.09,6.07,0,0,0,1.14,-0.53,0,-0.12,-0.77,0.22,-0.92,0,0,0.59,0.56,0,0.06,0.31,0.13,0.19,0,0,9.81,4.88,0,5.41,-4.35,6.12,3.85,0,0,-4.2,-8.25,0,-8.02,7.57,-0.63,-1.18,0,0,94.78,87.71,0,95,83.06,93.86,85.39,0,0,93.43,83.6,0,91.67,79.02,90.61,83.82,0,0
435221,2014,25,33,3,175,600,7.036451463,451,0,21,722,1398,434,0,0,0,4.88,9.52,0,5.36,7.06,6.91,0,0,0,0.02,-0.99,0,-0.41,-0.85,-0.04,0,0,0,0.57,0.67,0,0.02,0.19,0,0,0,0,9.48,5.22,0,5.53,-4.23,6.69,0,0,0,-5.02,-6.35,0,-8.1,5.95,-0.72,0,0,0,96.52,89.53,0,96.98,85.24,95.17,0,0,0,94.19,88.03,0,93.72,82.24,92.08,0,0,0
435221,2015,9,4,0,29,69,6.220956522,174,0,0,79,54,60,0,0,0,4.6,0,0,9.26,6.33,0,0,0,0,0.01,0,0,-0.58,-0.71,0.15,0,0,0,0.57,0,0,0.29,0.16,0.19,0,0,0,8.33,0,0,4.31,-4.66,5.18,0,0,0,-6.09,0,0,-8.78,5.53,-1.3,0,0,0,96.55,0,0,95.7,83.79,94.13,0,0,0,94.36,0,0,93.04,81.69,92.02,0,0,0
435400,2011,2,16,5,63,204,2.480882353,853,0,5,4,132,268,0,0,0,6.21,0,0,4.55,0,5.22,0,0,0,0.35,-0.28,0,-0.38,0.51,-0.19,0,0,0,0.12,0.73,0,0.29,0.3,0.37,0,0,0,10.01,6.12,0,5.17,-3.47,3.13,0,0,0,-3.69,-5.37,0,-8.14,1.94,1.97,0,0,0,100.24,88.84,0,98.82,84.62,94.55,0,0,0,97.22,85.74,0,95.2,83.27,90.64,0,0,0
