key_mlbam,key_bbref
400104,walkety01
476205,walljo02
502208,waltepj01
425426,wangch01
623913,wangwe01
476589,warread01
453265,watsoto01
213711,weaveje01
450308,weaveje02
543900,webbda01
444436,webbry01
543901,weberry01
519403,weberth01
543903,webstal01
475095,weilaky01
519405,weinhro01
444992,welkedu01
425487,welleto01
489413,wellsca01
150337,wellski01
448694,wellsra01
599819,wernean01
519411,westma03
476811,westse01
150414,westbja01
235095,wheelda01
460128,whelake01
457461,whitese02
452666,wilheto01
573244,wilkad01
237796,willije02
430942,willira01
425883,willido03
543935,wilsoal01
451216,wilsobr01
450351,wilsocj01
425543,wilsojo03
458677,wilsoju10
592869,wilsoty01
595465,winklda01
276547,wisede01
605538,wislema01
592879,wojcias01
150116,wolfra02
448693,wolfro01
622072,woodal02
134268,woodke02
445971,woodti01
475243,woodtr01
543942,wootero01
474699,worleva01
519445,worthda01
124604,wrighja01
605541,wrighmi01
453214,wrighst01
449079,wrighwe01
430900,wuertmi01
489446,yateski01
432934,youngch03
489448,zagurmi01
407296,zambrca01
473646,zeidjo01
446899,zieglbr01
217096,zitoba01
543964,zychto01
